ident,actual_ident,scheduled_departuretm,scheduled_arrivaltm,origin,destination,aircrafttype,meal_service,seats_cabin_first,seats_cabin_business,seats_cabin_coach
LAN5582,BAW347,2020-05-06T11:50:00.000+0000,2020-05-06T14:00:00.000+0000,LFMN,EGLL,A319,Economy: Food for sale,0,0,144
UAL9100,DLH908,2020-05-06T12:00:00.000+0000,2020-05-06T13:40:00.000+0000,EDDF,EGLL,,Business: Cold meal / Economy: Snack or brunch,0,28,138
CTN5486,DLH908,2020-05-06T12:00:00.000+0000,2020-05-06T13:40:00.000+0000,EDDF,EGLL,,Business: Cold meal,0,180,0
TAP7021,AIC111,2020-05-06T08:30:00.000+0000,2020-05-06T18:00:00.000+0000,VIDP,EGLL,B788,Business: Meal / Economy: Meal,0,18,238
ACA6387,AIC111,2020-05-06T08:30:00.000+0000,2020-05-06T18:00:00.000+0000,VIDP,EGLL,B788,Business: Meal / Economy: Meal,0,18,238
AIC111,,2020-05-06T08:30:00.000+0000,2020-05-06T18:00:00.000+0000,VIDP,EGLL,B788,Business: Meal / Economy: Meal,0,18,238
AVA2401,AIC111,2020-05-06T08:30:00.000+0000,2020-05-06T18:00:00.000+0000,VIDP,EGLL,B788,Business: No meal / Economy: No meal,0,18,238
DLH908,,2020-05-06T12:00:00.000+0000,2020-05-06T13:40:00.000+0000,EDDF,EGLL,,Business: Cold meal / Economy: Snack or brunch,0,28,138
AMC2136,ETD17,2020-05-06T10:10:00.000+0000,2020-05-06T17:45:00.000+0000,OMAA,EGLL,B78X,Business: No meal / Economy: No meal,0,32,343
KNE3017,ETD17,2020-05-06T10:10:00.000+0000,2020-05-06T17:45:00.000+0000,OMAA,EGLL,B78X,"Business: Food for sale, Meal / Economy: Food for sale, Meal",0,32,343
CSN7365,AZA204,2020-05-06T12:15:00.000+0000,2020-05-06T15:05:00.000+0000,LIRF,EGLL,A320,,0,0,0
AZA204,,2020-05-06T12:15:00.000+0000,2020-05-06T15:05:00.000+0000,LIRF,EGLL,A321,"Economy: Refreshments, Lunch",0,0,200
LZB1705,AZA204,2020-05-06T12:15:00.000+0000,2020-05-06T15:05:00.000+0000,LIRF,EGLL,A319,Business: No meal / Economy: No meal,0,8,132
CAL9442,AZA204,2020-05-06T12:15:00.000+0000,2020-05-06T15:05:00.000+0000,LIRF,EGLL,A320,Business: No meal / Economy: No meal,0,99,999
CHH8667,AZA204,2020-05-06T12:15:00.000+0000,2020-05-06T15:05:00.000+0000,LIRF,EGLL,A320,,0,0,0
BTI5630,BAW5630,2020-05-06T12:15:00.000+0000,2020-05-06T14:15:00.000+0000,LIML,EGLL,A319,Economy: Food for sale,0,0,1
OMA101,,2020-05-06T10:30:00.000+0000,2020-05-06T18:10:00.000+0000,OOMS,EGLL,B789,"Business: Dinner, Lunch / Economy: Dinner, Lunch",0,30,258
ACA6910,EIN168,2020-05-06T13:30:00.000+0000,2020-05-06T15:00:00.000+0000,EIDW,EGLL,A320,Business: No meal / Economy: Meal,0,4,168
UAL7668,EIN168,2020-05-06T13:30:00.000+0000,2020-05-06T15:00:00.000+0000,EIDW,EGLL,A320,Business: No meal / Economy: No meal,0,4,168
BAW5968,EIN168,2020-05-06T13:30:00.000+0000,2020-05-06T15:00:00.000+0000,EIDW,EGLL,A320,Economy: Food for sale,0,0,180
SIA2402,CTN490,2020-05-06T12:40:00.000+0000,2020-05-06T15:10:00.000+0000,LDZA,EGLL,A319,Business: No meal / Economy: No meal,0,42,102
LZB851,,2020-05-06T12:20:00.000+0000,2020-05-06T15:45:00.000+0000,LBSF,EGLL,A319,Business: Hot meal / Economy: Snack or brunch,0,8,132
EIN8982,BAW282,2020-05-06T22:35:00.000+0000,2020-05-07T09:10:00.000+0000,KLAX,EGLL,B789,First: No meal / Business: No meal / Economy: No meal,8,42,166
AAL6185,BAW282,2020-05-06T22:35:00.000+0000,2020-05-07T09:10:00.000+0000,KLAX,EGLL,B789,First: Meal / Business: Meal / Economy: Meal,8,42,166
FIN5522,BAW282,2020-05-06T22:35:00.000+0000,2020-05-07T09:10:00.000+0000,KLAX,EGLL,B789,First: Meal / Business: Meal / Economy: Meal,8,42,166
BAW282,,2020-05-06T22:35:00.000+0000,2020-05-07T09:10:00.000+0000,KLAX,EGLL,B789,First: Meal / Business: Meal / Economy: Meal,8,42,166
IBE7440,BAW282,2020-05-06T22:35:00.000+0000,2020-05-07T09:10:00.000+0000,KLAX,EGLL,B789,First: No meal / Business: No meal / Economy: No meal,8,42,166
IBE4192,AAL50,2020-05-06T20:45:00.000+0000,2020-05-07T05:55:00.000+0000,KDFW,EGLL,B77W,First: No meal / Business: No meal / Economy: No meal,8,52,244
GFA6650,AAL50,2020-05-06T20:45:00.000+0000,2020-05-07T05:55:00.000+0000,KDFW,EGLL,B77W,First: No meal / Business: Dinner / Economy: Dinner,8,52,244
ELY8028,AAL50,2020-05-06T20:45:00.000+0000,2020-05-07T05:55:00.000+0000,KDFW,EGLL,B77W,"First: Breakfast, Dinner / Business: Breakfast, Dinner / Economy: Breakfast, Dinner",8,52,244
BAW1505,AAL50,2020-05-06T20:45:00.000+0000,2020-05-07T05:55:00.000+0000,KDFW,EGLL,B77W,First: Meal / Business: Meal / Economy: Meal,8,52,244
FIN5780,AAL50,2020-05-06T20:45:00.000+0000,2020-05-07T05:55:00.000+0000,KDFW,EGLL,B77W,First: No meal / Business: No meal / Economy: No meal,8,52,244
AAL50,,2020-05-06T20:45:00.000+0000,2020-05-07T05:55:00.000+0000,KDFW,EGLL,B77W,"First: Breakfast, Dinner / Business: Breakfast, Dinner / Economy: Breakfast, Dinner",8,52,244
BOV5104,IBE3166,2020-05-06T13:50:00.000+0000,2020-05-06T16:15:00.000+0000,LEMD,EGLL,A346,Business: No meal / Economy: No meal,0,36,323
AIC6126,BE2107,2020-05-06T14:50:00.000+0000,2020-05-06T16:30:00.000+0000,EGPH,EGLL,DH8D,Economy: Meal,0,0,78
BAW2134,EIN934,2020-05-06T14:55:00.000+0000,2020-05-06T16:20:00.000+0000,EGAC,EGLL,A320,Business: No meal / Economy: Food for sale,0,4,168
UAL7665,EIN934,2020-05-06T14:55:00.000+0000,2020-05-06T16:20:00.000+0000,EGAC,EGLL,A320,Business: No meal / Economy: No meal,0,4,168
BAW5922,EIN722,2020-05-06T15:00:00.000+0000,2020-05-06T16:25:00.000+0000,EICK,EGLL,A320,Business: No meal / Economy: Food for sale,0,4,168
KQA3058,AFR1280,2020-05-06T14:00:00.000+0000,2020-05-06T15:25:00.000+0000,LFPG,EGLL,A320,Business: No meal / Economy: No meal,0,108,66
EIN722,,2020-05-06T15:00:00.000+0000,2020-05-06T16:25:00.000+0000,EICK,EGLL,A320,Business: Meal / Economy: Meal,0,4,168
BAW6033,FIN1337,2020-05-06T13:10:00.000+0000,2020-05-06T16:15:00.000+0000,EFHK,EGLL,A319,Business: Meal / Economy: Meal,0,1,143
